analysis_pair,pair_label,cohort_month,cohort_date,spearman_rho,rho_ci95_low,rho_ci95_high,permutation_p_value,n_models,estimated_fraction,source_std,transfer_std,confirmed_only
math_zscore,GSM8K -> MATH-500/AIME (z),2026-04,2026-04-01,0.942857142857143,0.5000000000000001,1.0,0.014597080583883223,6,0.6666666666666666,1.518442184169903,1.168319597538474,False
math_zscore,GSM8K -> MATH-500/AIME (z),2026-05,2026-05-01,0.22470913212714755,-0.4959306929404066,0.6812148025466499,0.41291741651669667,15,0.6,1.372935679830771,1.0350983390135313,False
math_math500,GSM8K -> MATH-500,2026-04,2026-04-01,0.9999999999999999,0.9999999999999999,1.0,0.012997400519896021,5,0.6,1.5905973720586861,13.42862613970618,False
math_math500,GSM8K -> MATH-500,2026-05,2026-05-01,0.14939024390243902,-0.7844791904986622,0.8742138364779874,0.672865426914617,10,0.6,1.5483324363111861,11.176885871197658,False
math_aime2024,GSM8K -> AIME 2024,2026-05,2026-05-01,0.39999999999999997,-1.0,1.0,0.5196960607878425,5,0.6,1.0406728592598158,2.277718156401268,False
code,HumanEval -> LiveCodeBench,2026-03,2026-03-01,-0.3181818181818182,-0.9712858623572643,0.7218358124525807,0.4849030193961208,7,0.5714285714285714,1.6438920136009394,3.59013197794282,False
code,HumanEval -> LiveCodeBench,2026-04,2026-04-01,-0.6821507526861229,-0.9364027453735406,-0.09425390726519954,0.036192761447710456,10,0.4,2.0278340935863337,5.3884753564126715,False
code,HumanEval -> LiveCodeBench,2026-05,2026-05-01,-0.74371922210914,-0.8702566903421601,-0.45990822652619723,0.0013997200559888023,15,0.5333333333333333,1.8077873874145816,7.488448246656789,False
knowledge,MMLU -> GPQA Diamond,2024-12,2024-12-01,0.0,-1.0,1.0,1.0,5,0.2,1.7253985046939142,14.359038965056124,False
knowledge,MMLU -> GPQA Diamond,2025-01,2025-01-01,0.2,-1.0,1.0,0.7172565486902619,6,0.3333333333333333,1.544991909363928,12.855465763635326,False
knowledge,MMLU -> GPQA Diamond,2026-03,2026-03-01,0.5636363636363637,-0.04393553131511215,0.897196261682243,0.07278544291141771,11,0.45454545454545453,1.6679328523654653,17.445749677734742,False
knowledge,MMLU -> GPQA Diamond,2026-04,2026-04-01,0.770077473690976,0.3632126471898011,0.9366561134358278,0.0015996800639872025,14,0.5,1.9614555035247903,17.65045216243656,False
knowledge,MMLU -> GPQA Diamond,2026-05,2026-05-01,0.7345847437289974,0.3055864597968499,0.9127351778656129,0.0021995600879824036,15,0.5333333333333333,1.890502578681129,17.68045194423437,False
math_zscore,GSM8K -> MATH-500/AIME (z),2026-05,2026-05-01,0.4285714285714286,-0.8000000000000002,1.0,0.42491501699660067,6,0.0,1.5689699381016418,0.8383334861427459,True
code,HumanEval -> LiveCodeBench,2026-04,2026-04-01,-0.8008534347238067,-1.0,-0.00674199862462629,0.0687862427514497,6,0.0,1.8334848422244083,6.269183891597586,True
code,HumanEval -> LiveCodeBench,2026-05,2026-05-01,-0.7666565318069349,-1.0,0.0,0.051789642071585686,7,0.0,1.7534999015574266,6.011298885075861,True
knowledge,MMLU -> GPQA Diamond,2026-03,2026-03-01,0.4285714285714286,-1.0,1.0,0.4357128574285143,6,0.0,1.3017936344392917,16.963893028036537,True
knowledge,MMLU -> GPQA Diamond,2026-04,2026-04-01,0.642857142857143,-0.22222222222222227,1.0,0.13997200559888023,7,0.0,1.8544669366283157,18.954280833225035,True
