analysis_pair,pair_label,model_name,org,source_benchmark,transfer_benchmark,source_score,transfer_score,transfer_gap_source_minus_transfer,predicted_transfer_score,residual_transfer_minus_predicted,abs_residual,is_estimated,score_provenance
knowledge,MMLU -> GPQA Diamond,Gemini 3 Flash,Google,MMLU,GPQA Diamond,88.0,90.4,-2.4000000000000057,62.600393050337175,27.79960694966283,27.79960694966283,True,Iternal
knowledge,MMLU -> GPQA Diamond,Llama 3.1 405B,Meta,MMLU,GPQA Diamond,88.6,41.3,47.3,66.51243238201823,-25.212432382018235,25.212432382018235,False,Codesota / LangDB
math_math500,GSM8K -> MATH-500,Gemma 3 27B,Google,GSM8K,MATH-500,95.9,70.0,25.900000000000006,90.55066740823135,-20.550667408231348,20.550667408231348,True,Google / LLM-Stats
vision_objectnet,ImageNet -> ObjectNet,CoCa,Google,ImageNet,ObjectNet,91.0,80.0,11.0,59.8183957637359,20.1816042362641,20.1816042362641,True,Codesota / Encord
knowledge,MMLU -> GPQA Diamond,Grok 3 Mini,xAI,MMLU,GPQA Diamond,90.0,59.1,30.9,75.64052415594108,-16.54052415594108,16.54052415594108,True,Open-Reasoner-Zero
vision_imagenetv2,ImageNet -> ImageNet-V2,ResNet-18,Various,ImageNet,ImageNetV2,59.7,31.2,28.500000000000004,47.73170744102457,-16.53170744102457,16.53170744102457,True,NeurIPS 2023
code,HumanEval -> LiveCodeBench,Claude Opus 4 (Thinking),Anthropic,HumanEval,LiveCodeBench,97.0,56.6,40.4,72.77258050415264,-16.17258050415264,16.17258050415264,True,LiveCodeBench
vision_objectnet,ImageNet -> ObjectNet,ResNet-50,Various,ImageNet,ObjectNet,76.8,30.3,46.5,45.34825360722157,-15.048253607221572,15.048253607221572,False,ICCV 2023
math_math500,GSM8K -> MATH-500,Claude 3.5 Sonnet,Anthropic,GSM8K,MATH-500,96.4,77.1,19.30000000000001,91.17520393029291,-14.075203930292915,14.075203930292915,False,Anthropic / LangDB
vision_objectnet,ImageNet -> ObjectNet,AlexNet,Various,ImageNet,ObjectNet,42.3,22.0,20.299999999999997,10.191922311464943,11.808077688535057,11.808077688535057,False,NeurIPS 2023
math_math500,GSM8K -> MATH-500,Llama 3.1 405B,Meta,GSM8K,MATH-500,96.8,80.0,16.799999999999997,91.67483314794215,-11.674833147942152,11.674833147942152,True,Meta / LLM-Stats
knowledge,MMLU -> GPQA Diamond,GPT-4o,OpenAI,MMLU,GPQA Diamond,87.2,68.8,18.400000000000006,57.3843406080955,11.415659391904498,11.415659391904498,False,Kaggle / Codesota
knowledge,MMLU -> GPQA Diamond,GPT-5.2,OpenAI,MMLU,GPQA Diamond,91.0,92.4,-1.4000000000000057,82.16058970874315,10.23941029125686,10.23941029125686,True,Vellum / Iternal
math_math500,GSM8K -> MATH-500,LongCat-Flash-Thinking,Meituan,GSM8K,MATH-500,95.0,99.2,-4.200000000000003,89.42650166852053,9.773498331479473,9.773498331479473,True,LLM-Stats
vision_imagenetv2,ImageNet -> ImageNet-V2,AlexNet,Various,ImageNet,ImageNetV2,42.3,35.0,7.299999999999997,26.044139640613476,8.955860359386524,8.955860359386524,True,NeurIPS 2023
math_math500,GSM8K -> MATH-500,GLM-4.5,Zhipu AI,GSM8K,MATH-500,95.0,98.2,-3.200000000000003,89.42650166852053,8.773498331479473,8.773498331479473,True,LLM-Stats
knowledge,MMLU -> GPQA Diamond,Claude Opus 4.6,Anthropic,MMLU,GPQA Diamond,91.1,91.3,-0.20000000000000284,82.81259626402323,8.48740373597677,8.48740373597677,False,Onyx / Iternal
knowledge,MMLU -> GPQA Diamond,DeepSeek V3,DeepSeek,MMLU,GPQA Diamond,88.5,57.4,31.1,65.86042582673815,-8.460425826738152,8.460425826738152,False,Codesota / LangDB
math_math500,GSM8K -> MATH-500,Nemotron Nano 9B v2,NVIDIA,GSM8K,MATH-500,95.4,97.8,-2.3999999999999915,89.92613088616979,7.87386911383021,7.87386911383021,False,LLM-Stats
vision_objectnet,ImageNet -> ObjectNet,MobileNetV3-Large,Various,ImageNet,ObjectNet,71.5,32.4,39.1,39.94742590091693,-7.547425900916934,7.547425900916934,False,ICCV 2023
knowledge,MMLU -> GPQA Diamond,o1,OpenAI,MMLU,GPQA Diamond,91.8,80.0,11.799999999999997,87.37664215098471,-7.376642150984708,7.376642150984708,True,Codesota
knowledge,MMLU -> GPQA Diamond,Qwen 3 72B,Alibaba,MMLU,GPQA Diamond,88.7,60.0,28.700000000000003,67.16443893729854,-7.1644389372985415,7.1644389372985415,True,Codesota
code,HumanEval -> LiveCodeBench,Grok 4,xAI,HumanEval,LiveCodeBench,97.0,79.4,17.599999999999994,72.77258050415264,6.627419495847363,6.627419495847363,False,LayerLens / BenchLM
vision_objectnet,ImageNet -> ObjectNet,CLIP-ViT-L/14,OpenAI,ImageNet,ObjectNet,74.4,36.8,37.60000000000001,42.902595777951554,-6.1025957779515565,6.1025957779515565,False,NeurIPS 2023
code,HumanEval -> LiveCodeBench,GPT-5.4,OpenAI,HumanEval,LiveCodeBench,95.0,84.0,11.0,77.99799213172079,6.0020078682792075,6.0020078682792075,True,BenchLM / LangDB
code,HumanEval -> LiveCodeBench,Kimi K2.5 (Reasoning),Moonshot AI,HumanEval,LiveCodeBench,94.5,85.0,9.5,79.30434503861281,5.695654961387191,5.695654961387191,False,BenchLM
math_math500,GSM8K -> MATH-500,o4-mini,OpenAI,GSM8K,MATH-500,96.0,96.2,-0.20000000000000284,90.67557471264365,5.524425287356351,5.524425287356351,True,Kaggle
knowledge,MMLU -> GPQA Diamond,Claude Opus 4.7,Anthropic,MMLU,GPQA Diamond,92.0,94.2,-2.200000000000003,88.6806552615451,5.519344738454905,5.519344738454905,True,Vellum
code,HumanEval -> LiveCodeBench,MiMo-V2-Flash,Xiaomi,HumanEval,LiveCodeBench,92.0,80.6,11.400000000000006,85.83610957307297,-5.23610957307298,5.23610957307298,True,BenchLM
